zip,county
32003,Clay County
32004,St. Johns County
32006,Clay County
32007,Putnam County
32008,Suwannee County
32009,Nassau County
32011,Nassau County
32013,Lafayette County
32024,Columbia County
32025,Columbia County
32026,Union County
32030,Clay County
32033,St Johns County
32034,Nassau County
32035,Nassau County
32038,Columbia County
32040,Baker County
32041,Nassau County
32042,Bradford County
32043,Clay County
32044,Bradford County
32046,Nassau County
32050,Clay County
32052,Hamilton County
32053,Hamilton County
32054,Union County
32055,Columbia County
32056,Columbia County
32058,Bradford County
32059,Madison County
32060,Suwannee County
32061,Columbia County
32062,Suwannee County
32063,Baker County
32064,Suwannee County
32065,Clay County
32066,Lafayette County
32067,Clay County
32068,Clay County
32071,Suwannee County
32072,Baker County
32073,Clay County
32079,Clay County
32080,St Johns County
32081,St Johns County
32082,St Johns County
32083,Union County
32084,St Johns County
32085,St. Johns County
32086,St Johns County
32087,Baker County
32091,Bradford County
32092,St Johns County
32094,Suwannee County
32095,St Johns County
32096,Hamilton County
32097,Nassau County
32099,Duval County
32102,Lake County
32105,Volusia County
32110,Flagler County
32111,Marion County
32112,Putnam County
32113,Marion County
32114,Volusia County
32115,Volusia County
32116,Volusia County
32117,Volusia County
32118,Volusia County
32119,Volusia County
32120,Volusia County
32121,Volusia County
32122,Volusia County
32123,Volusia County
32124,Volusia County
32125,Volusia County
32126,Volusia County
32127,Volusia County
32128,Volusia County
32129,Volusia County
32130,Volusia County
32131,Putnam County
32132,Volusia County
32133,Marion County
32134,Marion County
32135,Flagler County
32136,Flagler County
32137,Flagler County
32138,Putnam County
32139,Putnam County
32140,Putnam County
32141,Volusia County
32142,Flagler County
32143,Flagler County
32145,St Johns County
32147,Putnam County
32148,Putnam County
32149,Putnam County
32157,Putnam County
32158,Lake County
32159,Lake County
32160,Clay County
32162,Sumter County
32163,Sumter County
32164,Flagler County
32168,Volusia County
32169,Volusia County
32170,Volusia County
32173,Volusia County
32174,Volusia County
32175,Volusia County
32176,Volusia County
32177,Putnam County
32178,Putnam County
32179,Marion County
32180,Volusia County
32181,Putnam County
32182,Marion County
32183,Marion County
32185,Putnam County
32187,Putnam County
32189,Putnam County
32190,Volusia County
32192,Marion County
32193,Putnam County
32195,Marion County
32198,Volusia County
32201,Duval County
32202,Duval County
32203,Duval County
32204,Duval County
32205,Duval County
32206,Duval County
32207,Duval County
32208,Duval County
32209,Duval County
32210,Duval County
32211,Duval County
32212,Duval County
32214,Duval County
32215,Duval County
32216,Duval County
32217,Duval County
32218,Duval County
32219,Duval County
32220,Duval County
32221,Duval County
32222,Duval County
32223,Duval County
32224,Duval County
32225,Duval County
32226,Duval County
32227,Duval County
32228,Duval County
32229,Duval County
32230,Duval County
32231,Duval County
32232,Duval County
32233,Duval County
32234,Duval County
32235,Duval County
32236,Duval County
32237,Duval County
32238,Duval County
32239,Duval County
32240,Duval County
32241,Duval County
32244,Duval County
32245,Duval County
32246,Duval County
32247,Duval County
32250,Duval County
32254,Duval County
32255,Duval County
32256,Duval County
32257,Duval County
32258,Duval County
32259,St Johns County
32260,Duval County
32266,Duval County
32267,Duval County
32277,Duval County
32290,Duval County
32301,Leon County
32302,Leon County
32303,Leon County
32304,Leon County
32305,Leon County
32306,Leon County
32307,Leon County
32308,Leon County
32309,Leon County
32310,Leon County
32311,Leon County
32312,Leon County
32313,Leon County
32314,Leon County
32315,Leon County
32316,Leon County
32317,Leon County
32318,Leon County
32320,Franklin County
32321,Liberty County
32322,Franklin County
32323,Franklin County
32324,Gadsden County
32326,Wakulla County
32327,Wakulla County
32328,Franklin County
32329,Franklin County
32330,Gadsden County
32331,Madison County
32332,Gadsden County
32333,Gadsden County
32334,Liberty County
32335,Liberty County
32336,Jefferson County
32337,Jefferson County
32340,Madison County
32341,Madison County
32343,Gadsden County
32344,Jefferson County
32345,Jefferson County
32346,Wakulla County
32347,Taylor County
32348,Taylor County
32350,Madison County
32351,Gadsden County
32352,Gadsden County
32353,Gadsden County
32355,Wakulla County
32356,Taylor County
32357,Taylor County
32358,Wakulla County
32359,Taylor County
32360,Liberty County
32361,Jefferson County
32362,Leon County
32395,Leon County
32399,Leon County
32401,Bay County
32402,Bay County
32403,Bay County
32404,Bay County
32405,Bay County
32406,Bay County
32407,Bay County
32408,Bay County
32409,Bay County
32410,Bay County
32411,Bay County
32412,Bay County
32413,Bay County
32417,Bay County
32420,Jackson County
32421,Calhoun County
32422,Walton County
32423,Jackson County
32424,Calhoun County
32425,Holmes County
32426,Jackson County
32427,Washington County
32428,Washington County
32430,Calhoun County
32431,Jackson County
32432,Jackson County
32433,Walton County
32434,Walton County
32435,Walton County
32437,Washington County
32438,Bay County
32439,Walton County
32440,Jackson County
32442,Jackson County
32443,Jackson County
32444,Bay County
32445,Jackson County
32446,Jackson County
32447,Jackson County
32448,Jackson County
32449,Calhoun County
32452,Holmes County
32454,Walton County
32455,Walton County
32456,Gulf County
32457,Gulf County
32459,Walton County
32460,Jackson County
32461,Bay County
32462,Washington County
32463,Washington County
32464,Holmes County
32465,Gulf County
32466,Bay County
32501,Escambia County
32502,Escambia County
32503,Escambia County
32504,Escambia County
32505,Escambia County
32506,Escambia County
32507,Escambia County
32508,Escambia County
32509,Escambia County
32511,Escambia County
32512,Escambia County
32513,Escambia County
32514,Escambia County
32516,Escambia County
32520,Escambia County
32521,Escambia County
32522,Escambia County
32523,Escambia County
32524,Escambia County
32526,Escambia County
32530,Santa Rosa County
32531,Okaloosa County
32533,Escambia County
32534,Escambia County
32535,Escambia County
32536,Okaloosa County
32537,Okaloosa County
32538,Walton County
32539,Okaloosa County
32540,Okaloosa County
32541,Okaloosa County
32542,Okaloosa County
32544,Okaloosa County
32547,Okaloosa County
32548,Okaloosa County
32549,Okaloosa County
32550,Walton County
32559,Escambia County
32560,Escambia County
32561,Santa Rosa County
32562,Santa Rosa County
32563,Santa Rosa County
32564,Okaloosa County
32565,Santa Rosa County
32566,Santa Rosa County
32567,Okaloosa County
32568,Escambia County
32569,Okaloosa County
32570,Santa Rosa County
32571,Santa Rosa County
32572,Santa Rosa County
32577,Escambia County
32578,Okaloosa County
32579,Okaloosa County
32580,Okaloosa County
32583,Santa Rosa County
32588,Okaloosa County
32590,Escambia County
32591,Escambia County
