Country,Region,Percent Debt,Total Debt ($PPP),GDP ($PPP)
Japan,Eastern Asia,231.9,11054673000000,4767000000000
Zimbabwe,Eastern Africa,184.1,50185660000,27260000000
Greece,Southern Europe,177.1,505266300000,285300000000
Lebanon,Middle East,134.8,109754160000,81420000000
Jamaica,Caribbean,132.8,32004800000,24100000000
Italy,Southern Europe,132,2818200000000,2135000000000
Portugal,Southern Europe,130.2,366382800000,281400000000
Eritrea,Eastern Africa,125.3,9826026000,7842000000
Cabo Verde,West Africa,113.7,3786210000,3330000000
Grenada,Caribbean,110,1458600000,1326000000
Ireland,Northern Europe,107.6,254366400000,236400000000
Cyprus,Mediterranean,107.5,29584000000,27520000000
Belgium,Western Europe,106.3,513747900000,483300000000
Singapore,Southeast Asia,103.2,468837600000,454300000000
Barbados,Caribbean,99.2,4530464000,4567000000
Spain,Southern Europe,97.7,1535844000000,1572000000000
Puerto Rico,Caribbean,97.2,59739120000,61460000000
France,Western Europe,95.5,2474405000000,2591000000000
Canada,North North America,94.8,1513008000000,1596000000000
Egypt,Middle East,93.7,886964200000,946600000000
Bhutan,South-Central Asia,91.5,5371965000,5871000000
Jordan,Middle East,90,71919000000,79910000000
Antigua and Barbuda,Caribbean,89,1808480000,2032000000
United Kingdom,Northern Europe,88.1,2263289000000,2569000000000
Iceland,Northern Europe,85.4,12246360000,14340000000
Croatia,Southern Europe,85.1,75509230000,88730000000
Austria,Western Europe,84.5,335296000000,396800000000
Saint Kitts and Nevis,Caribbean,83,1063230000,1281000000
Belize,Central America,77.6,2308600000,2975000000
Saint Lucia,Caribbean,77,1523060000,1978000000
Hungary,Eastern Europe,76.2,188290200000,247100000000
United States,North America,74.4,12908400000000,17350000000000
Germany,Western Europe,74.3,2784764000000,3748000000000
Morocco,Northern Africa,73.8,191289600000,259200000000
Sudan,Northern Africa,73.4,117586800000,160200000000
Albania,Southern Europe,72,22744800000,31590000000
Sri Lanka,South-Central Asia,71.8,156667600000,218200000000
Ghana,West Africa,70.9,76926500000,108500000000
Ukraine,Eastern Europe,70.3,261375400000,371800000000
Dominica,Caribbean,70,553000000,790000000
Serbia,Southern Europe,70,67088000000,95840000000
Sao Tome and Principe,Central Africa,69.6,435696000,626000000
Netherlands,Western Europe,69,558072000000,808800000000
Malta,Southern Europe,68.2,9629840000,14120000000
Aruba,Caribbean,67,1685720000,2516000000
Saint Vincent and the Grenadines,Caribbean,67,786580000,1174000000
Israel,Middle East,65.9,179313900000,272100000000
Seychelles,Eastern Africa,65.3,1582872000,2424000000
Pakistan,South-Central Asia,64.3,568540600000,884200000000
Guyana,North Eastern South America,63.1,3491954000,5534000000
Uruguay,Central East South America,62.7,44943360000,71680000000
El Salvador,Central America,62.4,31942560000,51190000000
Mauritius,Eastern Africa,61,14353300000,23530000000
Slovenia,Southern Europe,60.9,37490040000,61560000000
Malawi,Eastern Africa,60.9,11924220000,19580000000
Mozambique,Eastern Africa,59.8,18663580000,31210000000
Montenegro,Southern Europe,59.5,5609660000,9428000000
Finland,Northern Europe,59.3,131468100000,221700000000
Brazil,Central Eastern South America,58.9,1929564000000,3276000000000
