Title,Released,Label,UK Chart Position,US Chart Position,BPI Certification,RIAA Certification
Please Please Me,22-Mar-63,Parlophone(UK),1,-,Gold,Platinum
With the Beatles,22-Nov-63,Parlophone(UK),1,-,Platinum,Gold
Beatlemania! With the Beatles,25-Nov-63,Capitol(CAN),-,-,,
Introducing... The Beatles,10-Jan-64,Vee-Jay(US),-,2,,
Meet the Beatles!,20-Jan-64,Capitol(US),-,1,,5xPlatinum
Twist and Shout,3-Feb-64,Capitol(CAN),-,-,,
The Beatles' Second Album,10-Apr-64,Capitol(US),-,1,,2xPlatinum
The Beatles' Long Tall Sally,11-May-64,Capitol(CAN),-,-,,
A Hard Day's Night,26-Jun-64,United Artists(US)[C],-,1,,4xPlatinum
,10-Jul-64,Parlophone(UK),1,-,Gold,
Something New,20-Jul-64,Capitol(US),-,2,,Platinum
Beatles for Sale,4-Dec-64,Parlophone(UK),1,-,Gold,Platinum
Beatles '65,15-Dec-64,Capitol(US),-,1,,3xPlatinum
Beatles VI,14-Jun-65,"Parlophone(NZ), Capitol(US)",-,1,,Platinum
Help!,6-Aug-65,Parlophone(UK),1,-,Platinum,
,13-Aug-65,Capitol(US)[C],-,1,,3xPlatinum
Rubber Soul,3-Dec-65,Parlophone(UK),1,-,Platinum,
,6-Dec-65,Capitol(US)[C],-,1,,6xPlatinum
Yesterday and Today,15-Jun-66,Capitol(US),-,1,,2xPlatinum
Revolver,5-Aug-66,Parlophone(UK),1,-,Platinum,
,8-Aug-66,Capitol(US)[C],-,1,,5xPlatinum
Sgt. Pepper's Lonely Hearts Club Band,1-Jun-67,"Parlophone(UK), Capitol(US)",1,1,3xPlatinum,11xPlatinum
Magical Mystery Tour,27-Nov-67,"Parlophone(UK), Capitol(US)",31[D],1,Platinum,6xPlatinum
The Beatles,22-Nov-68,"Apple(UK), Capitol(US)",1,1,Platinum,19xPlatinum
Yellow Submarine,13-Jan-69,"Apple(UK), Capitol(US)",3,2,Silver,Platinum
Abbey Road,26-Sep-69,"Apple(UK), Capitol(US)",1,1,2xPlatinum,12xPlatinum
Let It Be,8-May-70,"Apple(UK),United Artists(US)",1,1,Gold,4xPlatinum
