"URI","rdf-schema#label","rdf-schema#comment","buildingEndDate","elevation","height","location_label","location","thumbnail_label","thumbnail","wikiPageID","wikiPageRevisionID","point","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","owl#sameAs_label","owl#sameAs","wgs84_pos#lat","wgs84_pos#long"
"URI","http://www.w3.org/2000/01/rdf-schema#label","http://www.w3.org/2000/01/rdf-schema#comment","http://dbpedia.org/ontology/buildingEndDate","http://dbpedia.org/ontology/elevation","http://dbpedia.org/ontology/height","http://dbpedia.org/ontology/location","http://dbpedia.org/ontology/location","http://dbpedia.org/ontology/thumbnail","http://dbpedia.org/ontology/thumbnail","http://dbpedia.org/ontology/wikiPageID","http://dbpedia.org/ontology/wikiPageRevisionID","http://www.georss.org/georss/point","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#sameAs","http://www.w3.org/2002/07/owl#sameAs","http://www.w3.org/2003/01/geo/wgs84_pos#lat","http://www.w3.org/2003/01/geo/wgs84_pos#long"
"URI","rdf-schema#Literal","rdf-schema#Literal","XMLSchema#date","XMLSchema#double","XMLSchema#double","XMLSchema#string","Place","XMLSchema#string","owl#Thing","XMLSchema#integer","XMLSchema#integer","XMLSchema#string","XMLSchema#string","rdf-schema#Class","XMLSchema#string","owl#Thing","XMLSchema#float","XMLSchema#float"
"http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2000/01/rdf-schema#Literal","http://www.w3.org/2000/01/rdf-schema#Literal","http://www.w3.org/2001/XMLSchema#date","http://www.w3.org/2001/XMLSchema#double","http://www.w3.org/2001/XMLSchema#double","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Place","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#integer","http://www.w3.org/2001/XMLSchema#integer","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2000/01/rdf-schema#Class","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#float","http://www.w3.org/2001/XMLSchema#float"
"http://dbpedia.org/resource/%C3%85sv%C3%A6r_Lighthouse","Åsvær Lighthouse","Åsvær Lighthouse (Norwegian: Åsvær fyr) is a coastal lighthouse located on the island of Åsvær in the municipality of Dønna in Nordland county Norway. It is located about 10 kilometres (6.2 mi) north of Vandve about 16 kilometres (9.9 mi) northwest of Dønnes and about 11 kilometres (6.8 mi) south of Lovund. The occulting light on the top of the tower can be seen for up to 16 nautical miles (30 km; 18 mi).The 18.5-metre (61 ft) tall lighthouse was first built in 1876.","NULL","NULL","18.5","{Norway|Dønna}","{http://dbpedia.org/resource/Norway|http://dbpedia.org/resource/D%C3%B8nna}","Åsvær_fyr.JPG?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Åsvær_fyr.JPG?width=300","34049893","553442981","NULL","{architectural structure|lighthouse|place|tower|owl#Thing|Place|d0.owl#Location|Wikidata:Q532|Artifact100021939|Beacon102814860|Object100002684|Structure104341686|Tower104460130|Whole100003553|YagoGeoEntity|PhysicalEntity100001930|YagoPermanentlyLocatedEntity}","{http://dbpedia.org/ontology/ArchitecturalStructure|http://dbpedia.org/ontology/Lighthouse|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/Tower|http://www.w3.org/2002/07/owl#Thing|http://schema.org/Place|http://www.ontologydesignpatterns.org/ont/d0.owl#Location|http://dbpedia.org/ontology/Wikidata:Q532|http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Beacon102814860|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/Structure104341686|http://dbpedia.org/class/yago/Tower104460130|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/YagoGeoEntity|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity}","{m.0hr7j_5|Åsvær_Lighthouse}","{http://rdf.freebase.com/ns/m.0hr7j_5|http://yago-knowledge.org/resource/Åsvær_Lighthouse}","NULL","NULL"
"http://dbpedia.org/resource/%C3%86%C3%B0arstein_lighthouse","Æðarstein lighthouse","The Æðarstein lighthouse (Icelandic: Æðarsteinsviti) is located on the southeast coast of Iceland on a rocky point on the west side of the port of Djúpivogur.","NULL","10.0","6.0","Djúpivogur","http://dbpedia.org/resource/Dj%C3%BApivogur","Djupivogur_beacon.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Djupivogur_beacon.jpg?width=300","40776586","583697039","NULL","{architectural structure|lighthouse|place|tower|owl#Thing|Place|d0.owl#Location|Wikidata:Q532}","{http://dbpedia.org/ontology/ArchitecturalStructure|http://dbpedia.org/ontology/Lighthouse|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/Tower|http://www.w3.org/2002/07/owl#Thing|http://schema.org/Place|http://www.ontologydesignpatterns.org/ont/d0.owl#Location|http://dbpedia.org/ontology/Wikidata:Q532}","m.0y7tdsp","http://rdf.freebase.com/ns/m.0y7tdsp","NULL","NULL"
"http://dbpedia.org/resource/%C3%8Ele-Verte_Lighthouse","Île-Verte Lighthouse","Île-Verte Lighthouse is a lighthouse on Île Verte in Notre-Dame-des-Sept-Douleurs Quebec Canada. Completed in 1809 it is the oldest lighthouse on the Saint Lawrence River and the third oldest in Canada. The Lighttower which is 17 metres (56 ft) in height.","NULL","NULL","17.0","{Canada|Notre-Dame-des-Sept-Douleurs Quebec|Quebec}","{http://dbpedia.org/resource/Canada|http://dbpedia.org/resource/Notre-Dame-des-Sept-Douleurs,_Quebec|http://dbpedia.org/resource/Quebec}","PhareIleVerte.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/PhareIleVerte.jpg?width=300","36652894","564659778","NULL","{architectural structure|lighthouse|place|tower|Wikidata:Q532|Place|owl#Thing|d0.owl#Location}","{http://dbpedia.org/ontology/ArchitecturalStructure|http://dbpedia.org/ontology/Lighthouse|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/Tower|http://dbpedia.org/ontology/Wikidata:Q532|http://schema.org/Place|http://www.w3.org/2002/07/owl#Thing|http://www.ontologydesignpatterns.org/ont/d0.owl#Location}","m.0kv0y31","http://rdf.freebase.com/ns/m.0kv0y31","NULL","NULL"
"http://dbpedia.org/resource/%C3%96rsk%C3%A4r","Örskär","Örskär is a Swedish island and lighthouse station located north of Gräsö on the Uppland coastline. A large part of the island is a nature reserve and it is rich of unusual flowers such as wild orchids. The island is also noted to be a good place for birding. A very small hostel exists on the island.Örskär was one of the first lightstations to be built in Sweden. The first lighthouse was constructed of wood in 1684 but was burned down in 1738 when it was hit by the lightning.","NULL","NULL","32.0","{Sweden|Östhammar|Gräsö}","{http://dbpedia.org/resource/Sweden|http://dbpedia.org/resource/%C3%96sthammar|http://dbpedia.org/resource/Gr%C3%A4s%C3%B6}","Örskars_fyr.JPG?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Örskars_fyr.JPG?width=300","22786511","551926703","NULL","{architectural structure|lighthouse|place|tower|owl#Thing|Place|d0.owl#Location|Wikidata:Q532|Lighhouse|Artifact100021939|Beacon102814860|Object100002684|Structure104341686|Tower104460130|Whole100003553|YagoGeoEntity|PhysicalEntity100001930|YagoPermanentlyLocatedEntity}","{http://dbpedia.org/ontology/ArchitecturalStructure|http://dbpedia.org/ontology/Lighthouse|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/Tower|http://www.w3.org/2002/07/owl#Thing|http://schema.org/Place|http://www.ontologydesignpatterns.org/ont/d0.owl#Location|http://dbpedia.org/ontology/Wikidata:Q532|http://umbel.org/umbel/rc/Lighhouse|http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Beacon102814860|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/Structure104341686|http://dbpedia.org/class/yago/Tower104460130|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/YagoGeoEntity|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity}","{m.05zwffg||Örskär}","{http://rdf.freebase.com/ns/m.05zwffg|http://sws.geonames.org/2686313/|http://yago-knowledge.org/resource/Örskär}","NULL","NULL"
"http://dbpedia.org/resource/%C5%8Cmazaki_Lighthouse","Ōmazaki Lighthouse","The Ōmazaki Lighthouse (大間埼灯台 Ōmazaki tōdai) is a lighthouse located at the northernmost extremity of Honshū island on Bentenjima an island 600 meters off Cape Ōmazaki in Ōma Aomori Prefecture Japan. It is within the borders of the Shimokita Hanto Quasi-National Park.The Ōmazaki Lighthouse illuminates the Tsugaru Strait at the entrance to Mutsu Bay. Its light can be seen across the strait to Hokkaido.","NULL","NULL","25.4","{Japan|Ōma Aomori|Aomori Prefecture}","{http://dbpedia.org/resource/Japan|http://dbpedia.org/resource/%C5%8Cma,_Aomori|http://dbpedia.org/resource/Aomori_Prefecture}","Oomaza01.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Oomaza01.jpg?width=300","25174410","551413364","41.735277777777775 140.915","{architectural structure|lighthouse|place|tower|owl#Thing|Place|d0.owl#Location|Wikidata:Q532|wgs84_pos#SpatialThing|_Feature|Lighhouse|Artifact100021939|Beacon102814860|Object100002684|Structure104341686|Tower104460130|Whole100003553|YagoGeoEntity|PhysicalEntity100001930|YagoPermanentlyLocatedEntity}","{http://dbpedia.org/ontology/ArchitecturalStructure|http://dbpedia.org/ontology/Lighthouse|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/Tower|http://www.w3.org/2002/07/owl#Thing|http://schema.org/Place|http://www.ontologydesignpatterns.org/ont/d0.owl#Location|http://dbpedia.org/ontology/Wikidata:Q532|http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing|http://www.opengis.net/gml/_Feature|http://umbel.org/umbel/rc/Lighhouse|http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Beacon102814860|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/Structure104341686|http://dbpedia.org/class/yago/Tower104460130|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/YagoGeoEntity|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity}","{m.09gkrhy|Ōmazaki_Lighthouse}","{http://rdf.freebase.com/ns/m.09gkrhy|http://yago-knowledge.org/resource/Ōmazaki_Lighthouse}","41.7353","140.915"
"http://dbpedia.org/resource/%C5%9Awinouj%C5%9Bcie_Lighthouse","Świnoujście Lighthouse","Świnoujście Lighthouse also known as Swinemünde Lighthouse is an active lighthouse in Świnoujście (German: Swinemünde) Poland. At a height of 212 feet (65 m) it is the fifteenth tallest traditional lighthouse in the world as well as the tallest brick lighthouse and the tallest in Poland. It is located on the east bank of the river Świna just inside the entrance.","NULL","NULL","64.6176","Świnoujście","http://dbpedia.org/resource/%C5%9Awinouj%C5%9Bcie","1310a_Latarnia_morska_Świnoujście_ZSW.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/1310a_Latarnia_morska_Świnoujście_ZSW.jpg?width=300","12811418","593317850","NULL","{architectural structure|lighthouse|place|tower|owl#Thing|Place|d0.owl#Location|Wikidata:Q532|Artifact100021939|Beacon102814860|Object100002684|Structure104341686|Tower104460130|Whole100003553|YagoGeoEntity|PhysicalEntity100001930|YagoPermanentlyLocatedEntity}","{http://dbpedia.org/ontology/ArchitecturalStructure|http://dbpedia.org/ontology/Lighthouse|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/Tower|http://www.w3.org/2002/07/owl#Thing|http://schema.org/Place|http://www.ontologydesignpatterns.org/ont/d0.owl#Location|http://dbpedia.org/ontology/Wikidata:Q532|http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Beacon102814860|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/Structure104341686|http://dbpedia.org/class/yago/Tower104460130|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/YagoGeoEntity|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity}","{m.02x5wzs||Świnoujście_Lighthouse}","{http://rdf.freebase.com/ns/m.02x5wzs|http://sws.geonames.org/6285345/|http://yago-knowledge.org/resource/Świnoujście_Lighthouse}","NULL","NULL"
"http://dbpedia.org/resource/%C5%9Eile_Feneri","Şile Feneri","The Şile Feneri a historical lighthouse still in use is located on the western Black Sea coast in the northeast town Şile of Istanbul Province Turkey.Commissioned by the Ottoman sultan Abdülmecid I (reigned 1839-1861) it was constructed in 1859 by French engineers. In 1860 the lighthouse went into service.The masonry lighthouse is built on a cliffy point at Cape Şile about 1 km (0.62 mi) northeast of the town.","NULL","NULL","19.0","{Istanbul Province|Turkey|Şile}","{http://dbpedia.org/resource/Istanbul_Province|http://dbpedia.org/resource/Turkey|http://dbpedia.org/resource/%C5%9Eile}","Şile_6921.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Şile_6921.jpg?width=300","28857642","553498402","NULL","{architectural structure|lighthouse|place|tower|owl#Thing|Place|d0.owl#Location|Wikidata:Q532|Artifact100021939|Beacon102814860|Object100002684|Structure104341686|Tower104460130|Whole100003553|YagoGeoEntity|PhysicalEntity100001930|YagoPermanentlyLocatedEntity}","{http://dbpedia.org/ontology/ArchitecturalStructure|http://dbpedia.org/ontology/Lighthouse|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/Tower|http://www.w3.org/2002/07/owl#Thing|http://schema.org/Place|http://www.ontologydesignpatterns.org/ont/d0.owl#Location|http://dbpedia.org/ontology/Wikidata:Q532|http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Beacon102814860|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/Structure104341686|http://dbpedia.org/class/yago/Tower104460130|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/YagoGeoEntity|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity}","{m.0ddh66f|Şile_Feneri}","{http://rdf.freebase.com/ns/m.0ddh66f|http://yago-knowledge.org/resource/Şile_Feneri}","NULL","NULL"
