"day" "hour" "value"
"1" "1" "1.025"
"1" "2" "1"
"1" "3" "1"
"1" "4" "1"
"1" "5" "1"
"1" "6" "1"
"1" "7" "1.038889"
"1" "8" "1.094444"
"1" "9" "1"
"1" "10" "1"
"1" "11" "1"
"1" "12" "1"
"1" "13" "1"
"1" "14" "1"
"1" "15" "1.04166666666667"
"1" "16" "1.06666666666667"
"1" "17" "1.03333333333333"
"1" "18" "1.369444"
"1" "19" "1.102778"
"1" "20" "1"
"1" "21" "1.075"
"1" "22" "1.30833333333333"
"1" "23" "1.55833333333333"
"1" "24" "1"
"2" "1" "1"
"2" "2" "1"
"2" "3" "1"
"2" "4" "1"
"2" "5" "1"
"2" "6" "1"
"2" "7" "1.094444"
"2" "8" "1.1"
"2" "9" "1.1"
"2" "10" "1.05833333333333"
"2" "11" "1"
"2" "12" "1"
"2" "13" "1"
"2" "14" "1"
"2" "15" "1"
"2" "16" "1"
"2" "17" "1"
"2" "18" "1.075"
"2" "19" "1.35833333333333"
"2" "20" "1"
"2" "21" "1"
"2" "22" "1.31666666666667"
"2" "23" "1.5"
"2" "24" "1"
"3" "1" "1"
"3" "2" "1"
"3" "3" "1"
"3" "4" "1"
"3" "5" "1"
"3" "6" "1"
"3" "7" "1"
"3" "8" "1"
"3" "9" "1"
"3" "10" "1"
"3" "11" "1"
"3" "12" "1"
"3" "13" "1"
"3" "14" "1"
"3" "15" "1"
"3" "16" "1"
"3" "17" "1"
"3" "18" "1.15"
"3" "19" "1.275"
"3" "20" "1"
"3" "21" "1"
"3" "22" "1.14166666666667"
"3" "23" "1.38333333333333"
"3" "24" "1.44166666666667"
"4" "1" "1"
"4" "2" "1"
"4" "3" "1"
"4" "4" "1"
"4" "5" "1"
"4" "6" "1"
"4" "7" "1"
"4" "8" "1.1"
"4" "9" "1.20833333333333"
"4" "10" "1"
"4" "11" "1"
"4" "12" "1"
"4" "13" "1"
"4" "14" "1"
"4" "15" "1"
"4" "16" "1.06666666666667"
"4" "17" "1"
"4" "18" "1.09166666666667"
"4" "19" "1.28333333333333"
"4" "20" "1"
"4" "21" "1"
"4" "22" "1.01666666666667"
"4" "23" "1.3"
"4" "24" "1"
"5" "1" "1"
"5" "2" "1"
"5" "3" "1"
"5" "4" "1"
"5" "5" "1"
"5" "6" "1"
"5" "7" "1"
"5" "8" "1.01666666666667"
"5" "9" "1.075"
"5" "10" "1"
"5" "11" "1"
"5" "12" "1"
"5" "13" "1"
"5" "14" "1.04166666666667"
"5" "15" "1.325"
"5" "16" "1.19166666666667"
"5" "17" "1.18333333333333"
"5" "18" "1.25833333333333"
"5" "19" "1.55"
"5" "20" "1.30833333333333"
"5" "21" "1"
"5" "22" "1"
"5" "23" "1.11666666666667"
"5" "24" "1.25833333333333"
