"day" "hour" "value"
"6" "1" "1.01666666666667"
"6" "2" "1"
"6" "3" "1"
"6" "4" "1"
"6" "5" "1"
"6" "6" "1"
"6" "7" "1"
"6" "8" "1"
"6" "9" "1"
"6" "10" "1.01666666666667"
"6" "11" "1.025"
"6" "12" "1"
"6" "13" "1"
"6" "14" "1.05"
"6" "15" "1"
"6" "16" "1"
"6" "17" "1.11666666666667"
"6" "18" "1.325"
"6" "19" "1.36666666666667"
"6" "20" "1.19166666666667"
"6" "21" "1"
"6" "22" "1"
"6" "23" "1"
"6" "24" "1.1"
"7" "1" "1.06666666666667"
"7" "2" "1"
"7" "3" "1"
"7" "4" "1"
"7" "5" "1.10833333333333"
"7" "6" "1"
"7" "7" "1"
"7" "8" "1"
"7" "9" "1"
"7" "10" "1"
"7" "11" "1.01666666666667"
"7" "12" "1"
"7" "13" "1"
"7" "14" "1.14166666666667"
"7" "15" "1.01666666666667"
"7" "16" "1"
"7" "17" "1"
"7" "18" "1.05833333333333"
"7" "19" "1.50833333333333"
"7" "20" "1.30833333333333"
"7" "21" "1"
"7" "22" "1.01666666666667"
"7" "23" "1.175"
"7" "24" "1"
