,date,surge,dayofweek,dayofmonth,hourofday,minuteofhour,minuteofday
0,2016-01-24 13:00:00,1.0,6,24,13,0,780
1,2016-01-24 13:05:01,1.0,6,24,13,5,785
2,2016-01-24 13:10:02,1.3,6,24,13,10,790
3,2016-01-24 13:15:03,1.8,6,24,13,15,795
4,2016-01-24 13:20:05,1.0,6,24,13,20,800
5,2016-01-24 13:25:06,1.0,6,24,13,25,805
6,2016-01-24 13:30:07,1.4,6,24,13,30,810
7,2016-01-24 13:35:09,1.2,6,24,13,35,815
8,2016-01-24 13:40:10,1.0,6,24,13,40,820
9,2016-01-24 13:45:11,1.0,6,24,13,45,825
10,2016-01-24 13:50:12,1.0,6,24,13,50,830
11,2016-01-24 13:55:14,1.0,6,24,13,55,835
12,2016-01-24 14:00:15,1.0,6,24,14,0,840
13,2016-01-24 14:05:16,1.0,6,24,14,5,845
14,2016-01-24 14:10:18,1.0,6,24,14,10,850
15,2016-01-24 14:15:19,1.0,6,24,14,15,855
16,2016-01-24 14:20:20,1.0,6,24,14,20,860
17,2016-01-24 14:25:21,1.0,6,24,14,25,865
18,2016-01-24 14:30:23,1.0,6,24,14,30,870
19,2016-01-24 14:35:24,1.2,6,24,14,35,875
20,2016-01-24 14:40:25,1.0,6,24,14,40,880
21,2016-01-24 14:45:26,1.0,6,24,14,45,885
22,2016-01-24 14:50:28,1.0,6,24,14,50,890
23,2016-01-24 14:55:29,1.0,6,24,14,55,895
24,2016-01-24 15:00:30,1.0,6,24,15,0,900
25,2016-01-24 15:05:31,1.0,6,24,15,5,905
26,2016-01-24 15:10:33,1.0,6,24,15,10,910
27,2016-01-24 15:15:34,1.0,6,24,15,15,915
28,2016-01-24 15:20:35,1.0,6,24,15,20,920
29,2016-01-24 15:25:36,1.0,6,24,15,25,925
30,2016-01-24 15:30:37,1.0,6,24,15,30,930
31,2016-01-24 15:35:38,1.0,6,24,15,35,935
32,2016-01-24 15:40:40,1.0,6,24,15,40,940
33,2016-01-24 15:45:41,1.0,6,24,15,45,945
34,2016-01-24 15:50:43,1.0,6,24,15,50,950
35,2016-01-24 15:55:44,1.0,6,24,15,55,955
36,2016-01-24 16:00:45,1.0,6,24,16,0,960
37,2016-01-24 16:05:46,1.0,6,24,16,5,965
38,2016-01-24 16:10:47,1.0,6,24,16,10,970
39,2016-01-24 16:15:48,1.0,6,24,16,15,975
40,2016-01-24 16:20:50,1.0,6,24,16,20,980
41,2016-01-24 16:25:51,1.0,6,24,16,25,985
42,2016-01-24 16:30:52,1.0,6,24,16,30,990
43,2016-01-24 16:35:54,1.0,6,24,16,35,995
44,2016-01-24 16:40:55,1.0,6,24,16,40,1000
45,2016-01-24 16:45:56,1.0,6,24,16,45,1005
46,2016-01-24 16:50:58,1.0,6,24,16,50,1010
47,2016-01-24 16:55:59,1.0,6,24,16,55,1015
48,2016-01-24 17:01:00,1.0,6,24,17,1,1021
49,2016-01-24 17:06:01,1.0,6,24,17,6,1026
50,2016-01-24 17:11:03,1.0,6,24,17,11,1031
51,2016-01-24 17:16:04,1.0,6,24,17,16,1036
52,2016-01-24 17:21:05,1.0,6,24,17,21,1041
53,2016-01-24 17:26:07,1.0,6,24,17,26,1046
54,2016-01-24 17:31:08,1.0,6,24,17,31,1051
55,2016-01-24 17:36:09,1.0,6,24,17,36,1056
56,2016-01-24 17:41:10,1.0,6,24,17,41,1061
57,2016-01-24 17:46:11,1.2,6,24,17,46,1066
58,2016-01-24 17:51:12,1.5,6,24,17,51,1071
59,2016-01-24 17:56:14,1.0,6,24,17,56,1076
60,2016-01-24 18:01:15,1.0,6,24,18,1,1081
61,2016-01-24 18:06:16,1.2,6,24,18,6,1086
62,2016-01-24 18:11:18,1.9,6,24,18,11,1091
63,2016-01-24 18:16:19,1.5,6,24,18,16,1096
64,2016-01-24 18:21:20,1.0,6,24,18,21,1101
65,2016-01-24 18:26:21,1.0,6,24,18,26,1106
66,2016-01-24 18:31:22,1.0,6,24,18,31,1111
67,2016-01-24 18:36:24,1.2,6,24,18,36,1116
68,2016-01-24 18:41:25,2.8,6,24,18,41,1121
69,2016-01-24 18:46:26,2.8,6,24,18,46,1126
70,2016-01-24 18:51:28,1.5,6,24,18,51,1131
71,2016-01-24 18:56:29,1.2,6,24,18,56,1136
72,2016-01-24 19:01:30,2.7,6,24,19,1,1141
73,2016-01-24 19:06:32,1.8,6,24,19,6,1146
